T [MeV]	muB [MeV]	nB/T^3
150	190	0.13463723877729086
150	200	0.14480860110001842
150	210	0.15549736029121658
150	220	0.16673697257094533
150	230	0.17856012167667532
150	240	0.19099792629121962
150	250	0.2040790003101034
150	260	0.21782839227511946
150	270	0.23226645203063934
150	280	0.2474076960868262
150	290	0.26325976441450744
150	300	0.2798225761472267
150	310	0.29708779469152646
150	320	0.3150387000727585
150	330	0.33365053631520153
150	340	0.3528913558580388
150	350	0.3727233276304451
150	360	0.39310441945550834
150	370	0.41399031921376245
150	380	0.43533643238688735
150	390	0.45709979061881095
150	400	0.4792407276973471
150	410	0.5017242198385277
150	420	0.5245208388857512
150	430	0.5476073189992455
150	440	0.5709667831831513
150	450	0.5945887083967278
150	460	0.6184687267351374
150	470	0.6426083632157619
150	480	0.6670148044574715
150	490	0.691700771831364
150	500	0.7166845471250862
150	510	0.7419901582791751
150	520	0.7676476800524705
150	530	0.7936935314928362
150	540	0.8201705534666153
150	550	0.8471275289107059
150	560	0.8746176838040252
150	570	0.9026956157958346
150	580	0.9314121383506101
150	590	0.9608068012730634
150	600	0.9908984757519672
150	605	1.0062034490366543
150	610	1.021675348199246
150	615	1.0373065447438754
150	620	1.0530867032618536
150	625	1.0690028283194073
150	630	1.0850394409918753
155	0	0.
155	10	0.007099573643440638
155	20	0.014219647740025931
155	30	0.021380784398826392
155	40	0.028603669180734214
155	50	0.035909173046395286
155	60	0.043318414207819386
155	70	0.05085281921977932
155	80	0.058534182065774945
155	90	0.06638471921178889
155	100	0.07442711759871098
155	110	0.08268457131336994
155	120	0.0911808011979834
155	130	0.09994005000842318
155	140	0.1089870439347772
155	150	0.1183469096180338
155	160	0.1280450343952638
155	170	0.1381068569012921
155	180	0.14855757577478504
155	190	0.15942176679399828
155	200	0.1707229039264586
155	210	0.18248278806332405
155	220	0.19472089892900094
155	230	0.20745370024622972
155	240	0.2206939445102963
155	250	0.2344500391258647
155	260	0.24872554682803774
155	270	0.26351889631486203
155	280	0.27882337032274906
155	290	0.29462741635558987
155	300	0.31091529092616
155	310	0.3276680061536671
155	320	0.34486450537314917
155	330	0.3624829606604393
155	340	0.38050206749909626
155	350	0.3989022141794604
155	360	0.4176664250705974
155	370	0.4367810125353445
155	380	0.45623591376541534
155	390	0.4760247284683858
155	400	0.49614450399765725
155	410	0.5165953337064773
155	420	0.5373798410641866
155	430	0.5585026193640761
155	440	0.5799696873878479
155	450	0.6017880092527687
155	460	0.6239651143076818
155	470	0.6465088429984952
155	480	0.6694272361928978
155	490	0.6927285811417445
155	500	0.7164216222158347
155	510	0.740515940044569
155	520	0.7650224916277897
155	530	0.7899542840037987
155	540	0.8153271160111824
155	550	0.8411602591063414
155	560	0.8674768577717196
155	570	0.8943037138740624
155	580	0.9216700158148873
155	590	0.9496045507363678
155	600	0.9781311084294362
155	605	0.9926209542582977
155	610	1.007262265341991
155	615	1.0220537297942531
155	620	1.0369925243538656
155	625	1.052074200203893
155	630	1.0672926421661406
160	0	0.
160	10	0.008319270644605482
160	20	0.016657355571270224
160	30	0.025033104774275422
160	40	0.03346543868512098
160	50	0.04197338077836918
160	60	0.05057608662834381
160	70	0.05929286753903797
160	80	0.0681432062657911
160	90	0.07714676158963293
160	100	0.08632335761814294
160	110	0.0956929527257864
160	120	0.10527558207930797
160	130	0.11509126689289524
160	140	0.12515988314298837
160	150	0.13550098272168484
160	160	0.14613356136664515
160	170	0.1570757705482667
160	180	0.16834457528088984
160	190	0.17995536674944854
160	200	0.19192154764580913
160	210	0.2042541184805017
160	220	0.21696130350717857
160	230	0.23004826304040937
160	240	0.24351694216386408
160	250	0.25736610140158006
160	260	0.2715915610993205
160	270	0.28618666813302535
160	280	0.3011429639266287
160	290	0.31645100178263047
160	300	0.3321012359692758
160	310	0.34808489101408857
160	320	0.36439472116868676
160	330	0.38102558673721265
160	340	0.3979748021051718
160	350	0.41524224326130454
160	360	0.4328302333929316
160	370	0.4507432481983721
160	380	0.4689874954174468
160	390	0.48757042538560635
160	400	0.5065002240006479
160	410	0.5257853288650916
160	420	0.5454339971390886
160	430	0.5654539423771094
160	440	0.5858520483897962
160	450	0.6066341623729042
160	460	0.6278049666521875
160	470	0.6493679289167151
160	480	0.6713253335879571
160	490	0.6936784023544464
160	500	0.7164275186544106
160	510	0.7395725794290319
160	520	0.7631135043993451
160	530	0.7870509374552845
160	540	0.8113871685839729
160	550	0.8361272797222135
160	560	0.8612804582070527
160	570	0.8868613103506356
160	580	0.9128908391086175
160	590	0.939396541550608
160	600	0.9664109210301264
160	605	0.9801195263308631
160	610	0.9939677661341086
160	615	1.0079590561161498
160	620	1.02209602443495
160	625	1.0363802586712756
160	630	1.0508120782933041
165	0	0.
165	10	0.009313322499497106
165	20	0.018642912733658545
165	30	0.028005045957079262
165	40	0.03741601095203111
165	50	0.04689211290426656
165	60	0.056449671324314644
165	70	0.06610501088717606
165	80	0.0758744426959473
165	90	0.08577423306051406
165	100	0.0958205564914018
165	110	0.1060294293121414
165	120	0.11641662023699159
165	130	0.12699753459275268
165	140	0.13778706980995215
165	150	0.14879944159725098
165	160	0.16004798305618226
165	170	0.17154492302882668
165	180	0.18330115512419087
165	190	0.1953260147577165
165	200	0.20762708737431787
165	210	0.2202100755191386
165	220	0.23307875398050606
165	230	0.24623503919280731
165	240	0.25967919030402803
165	250	0.27341014474751474
165	260	0.28742597241582524
165	270	0.30172441279296497
165	280	0.3163034431307776
165	290	0.3311618169957975
165	300	0.3462995141954084
165	310	0.36171805514330996
165	320	0.37742065269399866
165	330	0.3934121976000856
165	340	0.40969909519653464
165	350	0.42628898642516294
165	360	0.44319039418556583
165	370	0.4604123361375305
165	380	0.4779639394211425
165	390	0.49585408375250456
165	400	0.5140910893912666
165	410	0.5326824575570542
165	420	0.5516346638412094
165	430	0.5709530007652429
165	440	0.5906414634872987
165	450	0.6107026727884893
165	460	0.6311378313249423
165	470	0.6519467128176119
165	480	0.6731276893036142
165	490	0.6946778088330852
165	500	0.7165929462563838
165	510	0.7388680624287749
165	520	0.7614976231140504
165	530	0.7844762466232397
165	540	0.8077996635561154
165	550	0.8314660740693541
165	560	0.8554779572787591
165	570	0.8798442925406769
165	580	0.9045829560465456
165	590	0.929722732570407
165	600	0.9553039783282274
165	605	0.9682755207163207
165	610	0.981376668564575
165	615	0.9946142403166676
165	620	1.0079947271775835
165	625	1.0215239235566669
165	630	1.0352065453019708
170	0	0.
170	10	0.010077064663783034
170	20	0.020167724055821318
170	30	0.030285562084749015
170	40	0.04044413964598128
170	50	0.05065697963510311
170	60	0.06093754766285455
170	70	0.07129922686008573
170	80	0.08175528505359778
170	90	0.09231883252976422
170	100	0.1030027686377393
170	110	0.11381971568759393
170	120	0.124781939077234
170	130	0.13590125342481457
170	140	0.1471889158168349
170	150	0.15865550916387364
170	160	0.17031082110464446
170	170	0.18216372678268822
170	180	0.19422208684616116
170	190	0.20649267462777277
170	200	0.2189811479394296
170	210	0.2316920803439755
170	220	0.2446290634025688
170	230	0.2577948848018317
170	240	0.2711917777937866
170	250	0.2848217262365722
170	260	0.29868679884969046
170	270	0.31278947854248473
170	280	0.3271329501930153
170	290	0.34172131407286777
170	300	0.3565597018182621
170	310	0.3716542854620808
170	320	0.38701218442203944
170	330	0.40264128767006635
170	340	0.41855001612518816
170	350	0.4347470531392489
170	360	0.4512410689401439
170	370	0.4680404596633502
170	380	0.48515311480378526
170	390	0.5025862200620829
170	400	0.5203460967598128
170	410	0.5384380747900229
170	420	0.556866393609059
170	430	0.5756341248286195
170	440	0.5947431103623789
170	450	0.6141939116575192
170	460	0.6339857679148496
170	470	0.6541165651868825
170	480	0.6745828231049734
170	490	0.6953797139657447
170	500	0.7165011391607363
170	510	0.7379399031336162
170	520	0.7596880457352709
170	530	0.7817374192944938
170	540	0.8040806256485173
170	550	0.8267124501981824
170	560	0.849631924482262
170	570	0.8728450754252448
170	580	0.8963682185964382
170	590	0.9202312630743251
170	600	0.9444799142098531
170	605	0.9567673841198852
170	610	0.9691750664190555
170	615	0.9817120836385866
170	620	0.994387539536567
170	625	1.007210058927616
170	630	1.0201872854212157
175	0	0.
175	10	0.010659431380768724
175	20	0.021330115591833895
175	30	0.03202328773713886
175	40	0.042750146517638296
175	50	0.053521833649928525
175	60	0.06434941042134022
175	70	0.07524383043596033
175	80	0.08621590765038442
175	90	0.09727627891100199
175	100	0.10843536041512716
175	110	0.1197032978757954
175	120	0.13108991072054516
175	130	0.1426046314373086
175	140	0.15425644221681706
175	150	0.1660538123201208
175	160	0.17800464102686497
175	170	0.19011621242536297
175	180	0.2023951694264034
175	190	0.21484751481644598
175	200	0.22747864651588232
175	210	0.24029343211389528
175	220	0.25329632402899427
175	230	0.266491511488277
175	240	0.2798830996034455
175	250	0.29347530016948015
175	260	0.3072726147881416
175	270	0.321279989683285
175	280	0.33550292377325824
175	290	0.3499475171008525
175	300	0.364620454441806
175	310	0.3795289273281087
175	320	0.39468050501145097
175	330	0.4100829697179181
175	340	0.4257441333832473
175	350	0.441671651928662
175	360	0.4578728499698881
175	370	0.4743545645024551
175	380	0.4911230116761457
175	390	0.5081836769011874
175	400	0.5255412256532842
175	410	0.5431994305603506
175	420	0.5611611095948469
175	430	0.5794280702806773
