T [MeV]	muB [MeV]	chi2B
155	510	0.37662615995117144
160	510	0.3734875649697202
165	510	0.370479024927428
170	510	0.36711193863393315
100	520	0.12164343726210057
102	520	0.1458854761229866
104	520	0.17479491770161223
106	520	0.20868051834955523
108	520	0.24711596124843505
110	520	0.28884883466610545
112	520	0.3325984083102223
114	520	0.37925874684739325
116	520	0.43422019891564145
118	520	0.5053104736395941
120	520	0.5930716545259276
125	520	0.7542661569401752
130	520	0.6635735289091514
135	520	0.5128044192041924
140	520	0.430680237266022
145	520	0.3987789807455758
150	520	0.3876761670912122
155	520	0.38311034433011054
160	520	0.3798235057146313
165	520	0.3762814176249164
170	520	0.37230156504994383
100	530	0.1382995123621373
102	530	0.16578997487639338
104	530	0.19859579857384915
106	530	0.23690816071956408
108	530	0.2800053535880011
110	530	0.3262994053214702
112	530	0.3746920315957169
114	530	0.4278405770410532
116	530	0.49481919254924006
118	530	0.5852506871131942
120	530	0.6917674206220839
125	530	0.8120358406895755
130	530	0.647684909134383
135	530	0.49433009745187906
140	530	0.4259210546085329
145	530	0.40196789203933453
150	530	0.3938065818973243
155	530	0.3898158494438692
160	530	0.3861801509773594
165	530	0.3820010466060049
170	530	0.37735577402927944
100	540	0.15750667593757284
102	540	0.1888213549058692
104	540	0.22618721712252313
106	540	0.2696136032433437
108	540	0.3180050177174429
110	540	0.369488420808771
112	540	0.42372634906661927
114	540	0.48684092546506397
116	540	0.5736314989909346
118	540	0.6924109832885998
120	540	0.8154601217667965
125	540	0.8428655892687876
130	540	0.6160643085053209
135	540	0.47606159635854134
140	540	0.4234624618869007
145	540	0.40660140963612185
150	540	0.4006263879736698
155	540	0.3967916107329237
160	540	0.3925924404887422
165	540	0.387666264069514
170	540	0.3822978860632418
100	550	0.17973616924130761
102	550	0.21558718465959983
104	550	0.25832105977157543
106	550	0.30767884074198243
108	550	0.3621257953041539
110	550	0.4197506796954693
112	550	0.48231277630703845
114	550	0.5627442382492519
116	550	0.6835778042940691
118	550	0.8392973619927303
120	550	0.9588550815524454
125	550	0.8314696656571596
130	550	0.5755591485264097
135	550	0.4613207396613307
140	550	0.4241320918928904
145	550	0.41288670788014703
150	550	0.40821668892018415
155	550	0.4040956539896882
160	550	0.3991152534156873
165	550	0.39333148134786483
170	550	0.3871806213160026
100	560	0.20557036251130636
102	560	0.24684769155127384
104	560	0.29594073842489804
106	560	0.3522115942306585
108	560	0.4136948011089201
110	560	0.4792025695028637
112	560	0.5557317222058855
114	560	0.6694940554543719
116	560	0.8475049509660846
118	560	1.0317021676367193
120	560	1.0893911888632346
125	560	0.775265891101599
130	560	0.5361235573273583
135	560	0.45278506518223655
140	560	0.42841476965570174
145	560	0.42091520864013254
150	560	0.4166257302216047
155	560	0.41178845333018305
160	560	0.40582512641236795
165	560	0.39908467741257264
170	560	0.3920976277494833
100	570	0.23573707920145368
102	570	0.28356644170449197
104	570	0.34024496593479003
106	570	0.40463045927155794
108	570	0.47458668936384396
110	570	0.5517921801751932
112	570	0.6561057845062475
114	570	0.8375647205492253
116	570	1.093756812813718
118	570	1.232744665468885
120	570	1.1363892127848645
125	570	0.6934905524900018
130	570	0.5071086692789131
135	570	0.4518443388755019
140	570	0.4363320565945259
145	570	0.43061106713213354
150	570	0.42584114523877437
155	570	0.419920196487323
160	570	0.41281809522773577
165	570	0.40505295434325683
170	570	0.39719475057190623
