T [MeV]	muB [MeV]	nB/T^3	s/T^3
145	170	0.09215878382058684	4.7258434015830835
145	180	0.09991286214368217	4.792640713719886
145	190	0.10810261805584755	4.864217232923705
145	200	0.116764844573737	4.94075482433595
145	210	0.12593895968828533	5.022446339358876
145	220	0.13566705856721625	5.1094926919719175
145	230	0.14599384191983575	5.202098395559696
145	240	0.1569663770860341	5.300465221200522
145	250	0.16863364285226343	5.404783663970251
145	260	0.18104580658489408	5.515221983367686
145	270	0.19425318479880027	5.631912737472062
145	280	0.20830484882197062	5.754936976302871
145	290	0.223246858267458	5.884306608905904
145	300	0.2391201395915923	6.019945905707434
145	310	0.25595807516235225	6.161673611260062
145	320	0.273783928987804	6.30918765624607
145	330	0.29260830206382227	6.462054865343373
145	340	0.3124268721182768	6.619708223738438
145	350	0.3332187155678836	6.781454045113637
145	360	0.3549455143027903	6.9464906681559935
145	370	0.37755190545512946	7.113939076337129
145	380	0.40096712894892217	7.28288419512288
145	390	0.4251079765421935	7.452423831653268
145	400	0.44988286722337906	7.621720655559715
145	410	0.4751967037167953	7.790051670955671
145	420	0.500956041240619	7.956849593906987
145	430	0.5270740509932323	8.12173151213031
145	440	0.5534747995948477	8.284511991859128
145	450	0.5800964816578199	8.44520002259075
145	460	0.6068934060882254	8.60398136886747
145	470	0.6338367110371526	8.761189595346329
145	480	0.6609139347050855	8.917269981127308
145	490	0.688127673661191	9.072740690318078
145	500	0.7154936119788661	9.228155051132358
145	510	0.7430382051623216	9.38406786197519
145	520	0.7707962681767883	9.541007547353024
145	530	0.7988086612221132	9.699454953321208
145	540	0.8271202046746206	9.859828735356912
145	550	0.8557778981071051	10.022476708543342
145	560	0.8848294706374583	10.187672202604706
145	570	0.914322256140791	10.35561433240442
145	580	0.9443023648834697	10.526431125078785
145	590	0.9748141103706937	10.700184556659147
145	600	1.0058996474340172	10.876876713108576
150	0	0.	4.752606841549675
150	10	0.005772033715486183	4.754624108220741
150	20	0.011564769213923767	4.760676938289554
150	30	0.017398971705378474	4.77076849393087
150	40	0.02329553613902559	4.784904282214801
150	50	0.029275559055541422	4.803092498806899
150	60	0.0353604181627517	4.825344485842733
150	70	0.04157186113187361	4.851675279804408
150	80	0.04793210418384642	4.882104217076497
150	90	0.05446393987690936	4.916655555794071
150	100	0.06119085214411473	4.95535906248446
150	110	0.06813713502609062	4.9982505008288145
150	120	0.07532800972546835	5.045371947804319
150	130	0.0827897326260568	5.096771849983133
150	140	0.09054968479558355	5.152504720743981
150	150	0.09863643126774616	5.212630369021291
150	160	0.10707973633571986	5.277212544048221
150	170	0.11591051926829642	5.34631688112621
150	180	0.12516073362509944	5.420008044226912
150	190	0.13486315310066138	5.498345986123284
150	200	0.14505104798429252	5.581381289714005
150	210	0.1557577393809593	5.669149618527059
150	220	0.1670160238267738	5.761665391632742
150	230	0.1788574690809708	5.858914906943333
150	240	0.19131159285634636	5.960849261361664
150	250	0.2044049497070806	6.067377545248148
150	260	0.21816016618337325	6.178360905147831
150	270	0.23259497928703352	6.293608150617739
150	280	0.24772134600301005	6.412873603861414
150	290	0.2635446997284862	6.535857832216762
150	300	0.2800634303156896	6.662211748600398
150	310	0.2972686563118867	6.791544312773327
150	320	0.31514434018620047	6.92343373415914
150	330	0.3336677707229333	7.05744170118383
150	340	0.35281040433570976	7.1931297956229105
150	350	0.3725390224968412	7.330076951908313
150	360	0.39281713176683647	7.4678966416994115
150	370	0.41360650926538667	7.606252449607622
150	380	0.4348687853563475	7.744870844063321
150	390	0.4565669558487558	7.883550237344125
150	400	0.4786667297110786	8.022165823261531
150	410	0.5011376403614348	8.16067009081161
150	420	0.5239538765656555	8.29908931477017
150	430	0.5470948172451177	8.437516638782311
150	440	0.5705452802299963	8.57610257512914
150	450	0.5942955154566997	8.715043835733317
150	460	0.6183409859676101	8.854571392039787
150	470	0.6426819871181548	8.99493856118317
150	480	0.6673231546686746	9.136409762465364
150	490	0.6922729087427167	9.279250411379243
150	500	0.7175428739139376	9.423718243069573
150	510	0.7431473070226557	9.570056200856257
150	520	0.7691025567663724	9.718486898391829
150	530	0.7954265705147099	9.869208569829084
150	540	0.8221384573747479	10.02239235988685
150	550	0.8492581114063232	10.17818077077648
150	560	0.8768058944853838	10.336687070003503
150	570	0.904802375810961	10.49799546624869
150	580	0.9332681230204204	10.66216187450408
150	590	0.9622235392536288	10.829215111921808
150	600	0.9916887397577103	10.999158388979962
155	0	0.	5.3409583433514625
155	10	0.007178395045352635	5.342971162025811
155	20	0.014376084701078748	5.349010043667123
155	30	0.02161246872172791	5.359076279217868
155	40	0.028907155595765222	5.3731720627938815
155	50	0.036280062777001264	5.391300540102149
155	60	0.04375151127041511	5.413465845627015
155	70	0.05134231159221864	5.439673098546798
155	80	0.05907383727116291	5.469928319796509
155	90	0.06696808111174316	5.504238226327264
155	100	0.07504768848731444	5.542609854118984
155	110	0.08333596110694598	5.585049959782007
155	120	0.09185682412442647	5.6315641527239375
155	130	0.10063474934169137	5.68215571706021
155	140	0.10969462773837219	5.736824095876738
155	150	0.11906158585943853	5.795563031023585
155	160	0.12876074278897132	5.858358379697933
155	170	0.138816907671979	5.925185664150103
155	180	0.14925422191255383	5.9960074512009705
155	190	0.16009575507555443	6.07077070074271
155	200	0.17136306889466035	6.149404262396372
155	210	0.18307576891934924	6.231816731219016
155	220	0.19525106777770387	6.317894890438679
155	230	0.20790338694050733	6.407502965734034
