phi3 		phi8 		V[GeV^4]
0.66667	-0.72169	-1.53853E-4
0.66667	-0.57735	-8.15313E-4
0.66667	-0.43301	-1.45172E-4
0.66667	-0.28868	-8.89812E-5
0.66667	-0.14434	-1.896E-4
0.66667	0		-1.96559E-4
0.66667	0.14434	-1.896E-4
0.66667	0.28868	-8.89812E-5
0.66667	0.43301	-1.45172E-4
0.66667	0.57735	-8.15313E-4
0.66667	0.72169	-1.53853E-4
0.66667	0.86603	-1.06314E-4
0.66667	1.01036	-2.15526E-4
0.66667	1.1547	-2.3099E-4
0.66667	1.29904	-2.3242E-4
0.66667	1.44338	-1.40042E-4
0.66667	1.58771	-2.04299E-4
0.66667	1.73205	-7.60907E-4
0.75		-1.73205	-8.17242E-4
0.75		-1.58771	-3.52741E-4
0.75		-1.44338	-4.41812E-4
0.75		-1.29904	-3.24794E-4
0.75		-1.1547	-2.2113E-4
0.75		-1.01036	-3.07956E-4
0.75		-0.86603	-4.08195E-4
0.75		-0.72169	-3.02462E-4
0.75		-0.57735	-8.7187E-4
0.75		-0.43301	-2.93809E-4
0.75		-0.28868	-3.90917E-4
0.75		-0.14434	-2.82113E-4
0.75		0		-1.86809E-4
0.75		0.14434	-2.82113E-4
0.75		0.28868	-3.90917E-4
0.75		0.43301	-2.93809E-4
0.75		0.57735	-8.7187E-4
0.75		0.72169	-3.02462E-4
0.75		0.86603	-4.08195E-4
0.75		1.01036	-3.07956E-4
0.75		1.1547	-2.2113E-4
0.75		1.29904	-3.24794E-4
0.75		1.44338	-4.41812E-4
0.75		1.58771	-3.52741E-4
0.75		1.73205	-8.17242E-4
0.83333	-1.73205	-6.78682E-4
0.83333	-1.58771	-4.96394E-4
0.83333	-1.44338	-6.06271E-4
0.83333	-1.29904	-3.15724E-4
0.83333	-1.1547	-1.31542E-4
0.83333	-1.01036	-2.98948E-4
0.83333	-0.86603	-5.72778E-4
0.83333	-0.72169	-4.46301E-4
0.83333	-0.57735	-7.33557E-4
0.83333	-0.43301	-4.37678E-4
0.83333	-0.28868	-5.55562E-4
0.83333	-0.14434	-2.73198E-4
0.83333	0		-9.73446E-5
0.83333	0.14434	-2.73198E-4
0.83333	0.28868	-5.55562E-4
0.83333	0.43301	-4.37678E-4
0.83333	0.57735	-7.33557E-4
0.83333	0.72169	-4.46301E-4
0.83333	0.86603	-5.72778E-4
0.83333	1.01036	-2.98948E-4
0.83333	1.1547	-1.31542E-4
